S.No.,Brand,Customer Complaints ,Hiring (Job Postings/ Listings for CTO/CXH),New Joinee (new CTO/CX/Founder),Growth/ expansion,Current Vendor,Source,,Complaint_Severity,Leadership_Hire_Strength,Current_Returns_Vendor_Status,Open_Relevant_Roles,Is_Growing_Fast,Product_Fits_Returns_Category
11,Olipop,"No returns-logistics complaints found. Facing a 2025 class-action re: misleading health marketing claims (not returns-relevant, noting for context only)",Not yet checked,Not yet checked,"Raised $50M in 2025 (standalone signal, not paired with pain - low weight)","Satisfaction-guarantee refund policy, not a returns platform",Return policy: https://drinkolipop.com/pages/satisfactionguarantee | Growth: https://www.fastcompany.com/91524233/the-future-of-functional-beverages,,N,,H,,N,N
12,Magic Spoon,Mostly product-quality complaints (not returns-relevant); one case of no response after 2 support contacts (Mar-Apr 2026) - weak signal,Not yet checked,Not yet checked,Not yet checked,Not yet confirmed,Trustpilot: https://www.trustpilot.com/review/magicspoon.com,,W,,,,N,N
13,Liquid Death,Not yet checked,Not yet checked,Not yet checked,"Raised $67M in 2024 (standalone signal, not paired with pain - low weight)",Not yet checked,,,,,,,N,N
14,Poppi,"No returns-logistics complaints found. $8.9M class-action settlement re: misleading health marketing (not returns-relevant, noting for context only)",Not yet checked,Not yet checked,Not yet checked,"Satisfaction-guarantee refund policy, not a returns platform",Settlement: https://www.wcnc.com/article/news/nation-world/poppi-class-action-settlement-how-to-file-a-claim/507-b68ab011-22ac-4bc3-8624-07fa4d9c8f07,,N,,NT,,N,N
15,Graza,"None found relevant to returns - food/consumable category (olive oil), no significant returns-related pain identified",Not yet checked,Not yet checked,Not yet checked,"N/A - consumable product, no returns program likely",,,N,,NT,,N,N
16,Ridge Wallet,"Overwhelmingly positive (4.3/5, 1900+ reviews) - customer service/warranty praised. Minor slow-response complaints, not a pattern.",No active hiring listings or open positions are published for a CTO or Head of CX at this time. ,None found,none,Loop Returns,Trustpilot: https://www.trustpilot.com/review/ridgewallet.com,,M,N,C,N,N,Y
17,Manscaped,"Subscription auto-enrollment confusion; slow/unresponsive support on refund requests and cancellations (BBB, Trustpilot 3.1-3.6/5, several thousand reviews) - billing friction more than classic returns",None found, Confirmed your Data Solutions Architect lead ,Ships to 39 countries + Amazon in 100+. Solid ongoing expansion signal.,manual/ No returns vendor found,BBB: https://www.bbb.org/us/ca/carlsbad/profile/hygiene-products/manscaped-1126-172020684/complaints | Trustpilot: https://www.trustpilot.com/review/manscaped.com,,S,Y,NT,N,Y,Y
18,Native Document,Trustpilot reviews independently confirm real pain: reviewers describe unresponsive customer service and a frustrating return/refund process,none found,none found," Rapidly rolling out multi-category personal care products (sprays, lotions, liquids) significantly spikes post-purchase variety","Tracking & Delivery Ops: Managed via Stord.

Returns Management: Powered directly through Happy Returns",Trustpilot: https://ca.trustpilot.com/review/nativecos.com | PissedConsumer: https://native-deodorant.pissedconsumer.com/review.html,,S,N,C,N,Y,Y
19,Beardbrand,"None found - 4.6/5 (33,000+ reviews), no significant returns-related complaint pattern",none found,None found,Beardbrand has engaged in a heavy international push across the UK and the European Union,"Shopify Plus to handle transactions ,No third-party platform found ",Trustpilot: https://www.trustpilot.com/review/beardbrand.com | Judge.me: https://judge.me/reviews/stores/beardbrand.com,,N,N,NT,N,Y,Y
20,Caraway,"BBB: 30 complaints over 3 years, primarily re: customer service responsiveness and difficulty with returns/cancellations. Complex repackaging requirements risk denied returns; one case took 2.5hrs to attempt repacking, request still pending 48hr review.",none found,none found,none found,Shopify Plus,BBB: https://www.bbb.org/us/ny/new-york/profile/home-accessories/caraway-home-inc-0121-87153437/complaints | Trustpilot: https://www.trustpilot.com/review/www.carawayhome.com,,S,N,NT,N,N,Y
21,Our Place,"Multiple BBB chargeback/refund-not-processed disputes (one explicitly called 'fraudulent' by customer); Trustpilot UK rated 'Poor' 1.9/5 with recurring 'lost my return, no refund' theme; CA Trustpilot summary also cites 'difficulties with returns and order issues' as a recurring pattern",none found,none found,none found,shopify plus,BBB: https://www.bbb.org/us/ca/culver-city/profile/online-shopping/our-place-1216-1296769/complaints | Trustpilot UK: https://uk.trustpilot.com/review/fromourplace.co.uk | Trustpilot CA: https://ca.trustpilot.com/review/fromourplace.com,,S,N,NT,N,N,Y
22,Jones Road Beauty," a massive post-purchase pain point is customers receiving the wrong undertone, forcing them through returns or exchanges.",none found,None found,Independent $200M+ Scale Up: Jones Road is on track to cross $200 million in revenue without outside private equity funding,"After Sell, Richpanel and Loop Returns",Loop case study: https://loopreturns.com/case-studies/case-study-loop-jones-road-beauty | Trustpilot: https://trustpilot.com/review/jonesroadbeauty.com,,M,N,C,N,Y,Y
23,Tushy,"PissedConsumer: 2.2/5, 36% recommend, summary explicitly states 'recurring customer complaints about unresponsive customer service...frequent requests for refunds and issues with returns, exchanges, and cancellations.' Corroborated by multiple BBB disputes over restocking fees and refund refusals, and repeated Trustpilot complaints about forced replacement shipments instead of refunds.",none found,none found,"Yes, TUSHY is actively expanding its footprint, targeting an estimated brand valuation over $50 Million while surpassing 3 million total customers",Gorgias and Shopify Plus,PissedConsumer: https://tushy.pissedconsumer.com/review.html | BBB: https://www.bbb.org/us/ny/brooklyn/profile/toilet-seats/tushy-llc-0121-176509/complaints | Trustpilot: https://www.trustpilot.com/review/hellotushy.com,,S,N,C,N,Y,Y
24,Momofuku Goods,"Overwhelmingly positive reviews (4.5/5, 4.53/5 across sources). Only isolated product-quality complaints (leaky bottles, expiry). Company policy explicitly states no returns accepted on food products for safety reasons - not a returns complaint pattern, a stated policy.",Not yet researched,Not yet researched,Not yet researched,"N/A - food/consumable product, no returns program (policy-based, not platform-based)",Reviews: https://thingtesting.com/brands/momofuku/reviews | FAQ: https://shop.momofuku.com/pages/faq,,N,,NT,,N,N
25,Parade Underwear,"Trustpilot: explicit refund refusals ('they tell me they can't refund me'), unresponsive support, one review states company has 'only hired ONE SINGLE person to MANUALLY do a process that should take an entire team.' Independently corroborated by a review aggregator explicitly listing 'challenges with the return process' as a known con category.",None found,None found,"Yes, Ridge Wallet is actively expanding and scaling aggressively",Aftersell/Loop returns,Trustpilot: https://www.trustpilot.com/review/yourparade.com | Returns policy: https://yourparade.com/pages/returns | Review summary: https://your-parade.tenereteam.com/,,S,N,C,N,Y,Y
