Rank,Brand,Score,Intent_Level,Recommended_Action,Top_Reasons,Suggested_Outreach_Angle,Missing_Information,Evidence_Sources
16,Vuori,40,Medium,Good Prospect,"many recent, well-documented complaints about returns/refunds | growing fast, which adds more pressure on returns","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",Current returns vendor,"Trustpilot: https://www.trustpilot.com/review/vuoriclothing.com | BBB: https://www.bbb.org/us/ca/carlsbad/profile/clothing/vuori | Exec hire: retailtechinnovationhub.com, April 2026"
17,Ridge Wallet,40,Medium,Good Prospect,"some recent complaints about returns/refunds | using a competitor's tool, but customers are still complaining - it's not working for them","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.",None - fully researched,Trustpilot: https://www.trustpilot.com/review/ridgewallet.com
18,Beardbrand,20,Low,Monitor,"no returns software in place - doing it manually | growing fast, which adds more pressure on returns",Lead with the cost of staying manual - no returns platform means real revenue is likely leaking through slow refunds and support load.,None - fully researched,Trustpilot: https://www.trustpilot.com/review/beardbrand.com | Judge.me: https://judge.me/reviews/stores/beardbrand.com
19,Magic Spoon,10,Low,Monitor,"a few complaints, but not a clear pattern","Lead directly with the specific complaint pattern found - this is active, visible pain they're already dealing with.","Hiring postings, Leadership hire, Growth/expansion, Current returns vendor",Trustpilot: https://www.trustpilot.com/review/magicspoon.com
20,Feastables,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",No sources logged
21,Olipop,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire",Return policy: https://drinkolipop.com/pages/satisfactionguarantee | Growth: https://www.fastcompany.com/91524233/the-future-of-functional-beverages
22,Liquid Death,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Complaints, Hiring postings, Leadership hire, Current returns vendor",No sources logged
23,Poppi,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",Settlement: https://www.wcnc.com/article/news/nation-world/poppi-class-action-settlement-how-to-file-a-claim/507-b68ab011-22ac-4bc3-8624-07fa4d9c8f07
24,Graza,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",No sources logged
25,Momofuku Goods,0,None,Low Priority,,No strong signal to anchor a pitch on yet - more research needed.,"Hiring postings, Leadership hire, Growth/expansion",Reviews: https://thingtesting.com/brands/momofuku/reviews | FAQ: https://shop.momofuku.com/pages/faq
